Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Compatible,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
unknown,84 DIVERS 1,73015550,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,321, ,Inboard,Diesel,29,12.9,4.4,1.8,,1994,84 DIVERS PTE LTD
ST,A CRYSTAL,372311,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,448, ,Inboard,Diesel,137,22,7.3,3.1,,2008,CRYSTAL MARITIME PTE LTD
ST,A RUBY,37250105,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,447, ,Inboard,Diesel,145,21.9,7.3,3.2,,2010,ORION LOGISTICS PTE LTD
ST,ABADI 5,REA02316,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,0,Motor,Inboard,Diesel,182,23.3,8.1,3.6,,2005,CAPITOL SHIPPING PTE LTD
ST,ABADI 6,P:02337,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,632, ,Inboard,Diesel,248,24.2,8.5,3.8,0,2005,CAPITOL OFFSHORE PTE LTD
ST,ABADI 8,P:REA02340,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,632, ,Inboard,Diesel,248,24.5,8.6,3.8,,2005,CAPITOL OFFSHORE PTE LTD
unknown,ABADI 9,P:REA02576,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,632, ,Inboard,Diesel,230,24.5,8.6,3.8,,2007,LIGHTMODE PTE LTD
SC,ABOARD 1,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,30,16,4.3,1.5,,2015,ABOARD FERRY PTE LTD
unknown,ACHIEVE,G9161000089,SHANGHAI DIESEL,SC15G300CA2,Up to B30,Compatible with B30,unknown,193,Motor,Inboard,Gas Oil,27,13,3.9,1.9,,2021,SINO TANKERS PTE LTD
SR,ACHIEVER I,60M11403,CATERPILLAR,3412C,Up to B100. Dealer consultation required,Compatible with B100,unknown,538,Motor,Inboard,Diesel,229,25,11,3.3,,2007,SGS SINGAPORE DIVING PTE LTD
SR,AK 10,11994525,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,298,Motor,Inboard,Diesel,58,17.7,4.8,2.4,,2009,ANTARA KOH PTE LTD
SC,AKM 1,12PC1-917842,ISUZU,unknown,unknown,No Data Available,Not Conclusive,250, ,Inboard,Diesel,38,15.3,4.3,2,,2011,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 2,1422D013656,WEI CHAI,WP12C450-21,Up to B30,Compatible with B30,unknown,330, ,Inboard,Diesel,35,15.3,4,2,,2013,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 3,148695,ISUZU,unknown,unknown,No Data Available,Not Conclusive,250, ,Inboard,Diesel,33,14.5,4,2,,2014,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 5,781098,ISUZU,12PD1,unknown,No Data Available,Not Conclusive,250,Motor,Inboard,Diesel,33,14.5,4,2,,2014,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 6,918424,ISUZU,unknown,unknown,No Data Available,Not Conclusive,250,Motor,Inboard,Diesel,33,14.5,4,2,,2015,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 7,779448,ISUZU,unknown,unknown,No Data Available,Not Conclusive,250,Motor,Inboard,Diesel,27,14.5,4,1.6,,2015,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 8,1500081,ISUZU,unknown,unknown,No Data Available,Not Conclusive,180,Motor,Inboard,Diesel,35,16.8,4,1.8,,2017,ANG KIAN SENG
SB,ALLI,1532,AKASAKA,unknown,unknown,No Data Available,Not Conclusive,2206,Motor,Inboard,Diesel,2630,86.5,14,7.2,3331,2008,ALLI SIRIUS TANKERS PTE LTD
SB,ALPHA,41102988,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,814, ,Inboard,Diesel,1971,77.8,15,6.1,2997,2008,UNILINE TANKERS PTE LTD
ST,ALPHA JUPITER,60M06004,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,500,Motor,Inboard,Diesel,174,23.4,8,3.9,,1996,QSA MARINE AND LOGISTICS PTE LTD
SP,AMEROID,73002220,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,321, ,Inboard,Diesel,14,12.2,3.9,1,,2001,DREW AMEROID (S) PTE LTD
SR,AMH 36 05,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1438,67.3,19.5,4.3,,2006,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
SR,AMH 4504,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1742,73.1,20.7,4.5,,2006,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
SR,ANAK LAUT III,116127,HINO,unknown,unknown,No Data Available,Not Conclusive,186, ,Inboard,Diesel,19,13.4,3.3,1.5,,1997,ISMAIL TAN ABDULLAH
unknown,ANAK SERAYA,ILLEGIBLE,HINO,CY 360M,unknown,No Data Available,Not Conclusive,260,Motor,Inboard,Diesel,37,15,4.3,2,,2006,APEX UNDERWATER SERVICES PTE LTD
unknown,ANTARA KOH 118,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,260,35.1,12.1,2.4,,2006,ANTARA KOH PTE LTD
unknown,ANTARA KOH 138,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,260,35.1,12.2,2.4,,2007,ANTARA KOH PTE LTD
unknown,ANTARA KOH 18,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,927,52.7,18.3,3.7,,2001,ANTARA KOH PTE LTD
unknown,ANTARA KOH 188,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,528,43.8,15.2,3,,2007,ANTARA KOH PTE LTD
unknown,ANTARA KOH 288,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,259,35.2,12.2,2.5,,2006,ANTARA KOH PTE LTD
unknown,ANTARA KOH 368,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,958,52.6,18.3,3.6,,2013,ANTARA KOH PTE LTD
unknown,ANTARA KOH 388,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,310,40,14,2.3,,2005,ANTARA KOH PTE LTD
unknown,ANTARA KOH 68,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,528,44,15.2,3,,2006,ANTARA KOH PTE LTD
unknown,ANTARA KOH 98,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,528,43.9,15.3,3.1,,2006,ANTARA KOH PTE LTD
ST,ANTARA KOH AB 2,P:23160955,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,187, ,Inboard,Diesel,40,15.8,4.9,1.8,,1992,ANTARA KOH PTE LTD
SR,ANTARA KOH AB1,P:3824869,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,280, ,Inboard,Diesel,22,11.3,4.9,1.7,,1982,ANTARA KOH PTE LTD
unknown,ANTARA KOH AB28,FK2G22388,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,177,Motor,Inboard,Diesel,77,17.7,6.9,2.1,,2012,ANTARA KOH PTE LTD
unknown,ANTARA KOH ASL VII,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,522,43.9,15.2,3.1,600,1990,ANTARA KOH PTE LTD
unknown,ANTARA KOH B8,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,507,43.8,15.2,3,,1987,ANTARA KOH PTE LTD
unknown,ANTARA KOH PB III,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,510,35.2,17.1,2.5,,1982,ANTARA KOH PTE LTD
unknown,ANTARA KOH PB68,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1749,51.9,27,4,,2014,ANTARA KOH PTE LTD
unknown,AOM 124,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,114,17.6,12.2,2.5,,2010,ORION LOGISTICS PTE LTD
unknown,AOM 1805,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,915,52.6,18.3,3.6,,2007,CAPITOL AQUARIA PTE LTD
unknown,AOM 1812,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,706,52.7,15.3,3.1,,2009,CAPITOL OCEANS PTE LTD
unknown,AOM 1815,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,923,52.7,18.3,3.7,,2009,CAPITOL TUG &AMP; BARGE PTE LTD
unknown,AOM 1823,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,923,52.6,18.3,3.6,,2010,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AOM 1824,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,631,52.6,15.2,3,,2010,CAPITOL AQUARIA PTE LTD
unknown,AOM 1830,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,706,52.7,15.3,3.1,,2011,CAPITOL OCEANS PTE LTD
unknown,AOM 1843,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,706,52.7,15.3,3.1,,2013,CAPITOL AQUARIA PTE LTD
unknown,AOM 1847,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,914,52.7,18.3,3.7,,2014,CAPITOL AQUARIA PTE LTD
unknown,AOM 2101,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1064,61.5,18.3,3.7,,2009,CAPITOL TUG &AMP; BARGE PTE LTD
unknown,AOM 2102,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1064,61.5,18.3,3.7,,2009,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AOM 2301,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1481,67.3,19.6,4.3,,2007,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AOM 2302,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1555,70.1,21.4,4.3,,2008,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AOM 2508,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1702,73.2,21.4,4.3,,2014,CAPITOL AQUARIA PTE LTD
unknown,AOM 2509,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1702,73.2,21.4,4.3,,2014,CAPITOL AQUARIA PTE LTD
unknown,AOM 2514,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1755,73.2,21.4,4.3,,2016,ANTARA KOH PTE LTD
unknown,AOM 2518,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,2035,73.2,21.4,4.6,,2008,CHG MARINE SERVICES PTE LTD
unknown,AOM 401,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,38,12.2,8.5,1.5,,2018,CAPITOL OCEANS PTE LTD
unknown,AOM HOPPER 11,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,814,47.9,12.4,4.9,,2013,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 13,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1245,56.7,15,5,,2014,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 14,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1245,56.7,15,5,,2014,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 15,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1245,56.7,15,5,,2014,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 16,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,814,47.9,12.4,4.9,,2013,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 17,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1265,56.6,15,5,,2014,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 1801,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1481,59.6,16,5.5,,2017,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AOM HOPPER 1802,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1481,59.6,16,5.5,,2017,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AOM HOPPER 2,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,717,48.3,12.8,4.6,,2011,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AOM HOPPER 20,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1245,56.7,15,5,,2014,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 21,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1265,56.7,15,5,,2014,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 23,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1273,56.7,15,5,,2015,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 25,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1244,56.7,15,5,,2016,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AOM HOPPER 2601,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,2400,65.8,18.4,6.5,,2015,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 2602,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,2400,65.8,18.4,6.5,,2015,CAPITOL AQUARIA PTE LTD
unknown,AOM HOPPER 8,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,771,48,12.4,4.9,,2012,CAPITOL AQUARIA PTE LTD
ST,AOM T1301,P:STE0934,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,485, ,Inboard,Diesel,165,22.5,7.3,3.5,,2007,CAPITOL OFFSHORE PTE LTD
ST,AOM T1302,4966,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,485,Motor,Inboard,Diesel,142,22,7.4,3.2,,2013,CAPITOL AQUARIA PTE LTD
ST,AOM T1303,P4621,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,485,Motor,Inboard,Diesel,138,22.2,7.4,3.2,,2013,CAPITOL AQUARIA PTE LTD
ST,AOM T1304,77860,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,485, ,Inboard,Diesel,144,22.1,7.4,3.2,,2013,CAPITOL AQUARIA PTE LTD
SC,APOLLO 1,A15999,HINO,F20C,unknown,No Data Available,Not Conclusive,247,Motor,Inboard,Diesel,33,14.5,4,2,,2013,APOLLO RESOURCE TRADING PTE LTD
unknown,APSG FP 1,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,147,19.2,10,2.7,,2015,HUATIONG CONTRACTOR PTE LTD
unknown,APSG FP 2,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,147,19.2,10,2.7,,2015,HUATIONG CONTRACTOR PTE LTD
unknown,APSG PS 01,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,75,19.2,10,1.5,,2015,DIKA SHIPPING PTE LTD
SB,AQUA 6,AQ6K260038,DAIHATSU,unknown,Up to B20. <B20 to B30. Consult OEM,Compatible with B20,unknown,1618, ,Inboard,Diesel,4855,94.6,18,9.4,6510,2008,CYPRESS POINT PTE LTD
SB,AQUA TERRA 7,AQ6K260053,DAIHATSU,6DKM26FL,Up to B20. <B20 to B30. Consult OEM,Compatible with B20,unknown,0,Motor,Inboard,Diesel,4855,94.6,18,9.4,6510,2010,PINE VALLEY PTE. LTD.
SC,AQUAMARINE,148358,ISUZU,unknown,unknown,No Data Available,Not Conclusive,180, ,Inboard,Diesel,33,14.5,4,2,,2012,PEARL MARINE LOGISTICS PTE LTD
SP,AQUARIUS ES 3,P:46260200,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,134, ,Inboard,Diesel,25,13.8,4.3,1.6,,2002,EVERLAST MARINE SERVICES PTE LTD
SC,AQUARIUS EXPRESS,41510016,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,315, ,Inboard,Diesel,21,12.2,3.7,1.6,,2003,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 11,6P18C019016,WEI CHAI,unknown,Up to B30,Compatible with B30,unknown,187,Motor,Inboard,Diesel,9,12.6,3.8,0.6,,2018,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 12,PORT: 6P18E031552,WEI CHAI,WP6C250-25,Up to B30,Compatible with B30,unknown,186,Motor,Inboard,Diesel,8,10,3.6,0.7,,2019,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 13,Port: D917B016379,SHANGHAI DIESEL,D683ZLCA3B,Up to B30,Compatible with B30,unknown,165,Motor,Inboard,Diesel,25,11.6,4.2,1.8,,2020,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 3,3GS01505,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,275, ,Inboard,Diesel,20,12.2,4.1,1.9,,2003,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 6,1415C013329,WEI CHAI,unknown,Up to B30,Compatible with B30,unknown,330,Motor,Inboard,Diesel,47,17,4.6,2.4,,2015,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 7,D9174003947,SHANGHAI DIESEL,unknown,Up to B30,Compatible with B30,unknown,184,Motor,Inboard,Diesel,26,12.6,3.8,1.9,,2017,EVERLAST MARINE SERVICES PTE LTD
SP,AQUARIUS EXPRESS 9,D9174005944,SHANGHAI DIESEL,D683,Up to B30,Compatible with B30,unknown,229,Motor,Inboard,Diesel,26,12.6,3.8,1.9,,2018,EVERLAST MARINE SERVICES PTE LTD
unknown,AR QUEEN 8,1421K082030,WEI CHAI,WP12C500-21E121,Up to B30,Compatible with B30,unknown,368,Motor,Inboard,Diesel,47,24.3,4.6,2.2,,2022,APOLLO RESOURCE TRADING PTE LTD
unknown,AR TEN,FOO5986,WEI CHAI,unknown,Up to B30,Compatible with B30,unknown,195, ,Inboard,Diesel,48,17.5,4.8,2,,2013,APOLLO RESOURCE TRADING PTE LTD
SB,ARDENT,41154503,CUMMINS,NT,Up to B20,Compatible with B20,unknown,447, ,Inboard,Diesel,960,50.7,12,5.2,1299,2010,SINO TANKERS PTE LTD
SR,ARION 1,L1017125,YAMAHA,unknown,unknown,No Data Available,Not Conclusive,33,Motor,Outboard,Petrol,2,8.1,2.2,0.3,,2015,OIL SPILL RESPONSE LIMITED
SB,ARTEMIS,1535,AKASAKA,unknown,unknown,No Data Available,Not Conclusive,1912, ,Inboard,Diesel,4832,94.6,18,9.4,6500,2009,SERIFOS SHIPPING (PTE) LTD
unknown,ARUNDINA,1,WEI CHAI,WC-6WH20LC1520DF1AO,Up to B30,Compatible with B30,unknown,1118,Motor,Inboard,DUAL FUEL - LNG or GAS OIL,4010,90.6,17.5,9,5540,2022,SINGFAR LOGISTICS PTE LTD
unknown,ASIAN HELPING HAND III,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1370,48.8,24.5,4,,1996,ASIAN LIFT PTE LTD
SR,ASIAN HERCULES II,8RB00594,NIIGATA,unknown,unknown,No Data Available,Not Conclusive,1491, ,Inboard,Diesel,10560,91,43,8.5,,1997,ASIAN LIFT PTE LTD
SR,ASIAN HERCULES III,224059,WARTSILA,9LA32,Compatible to BXX when BXX meets Wartsila biofuel specs B100,Conditionally Compatible with BXX,unknown,4500,Motor,Inboard,Diesel,16805,101.1,52,10,,2011,ASIAN LIFT PTE LTD
unknown,ASL 1505,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,528,43.9,15.3,3.1,,2008,CAPITOL TUG &AMP; BARGE PTE LTD
unknown,ASL 1506,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,516,43.8,15.2,3,,2009,CAPITOL TUG &AMP; BARGE PTE LTD
unknown,ASL 95,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,678,52.6,15.2,3,,2004,CAPITOL NAVIGATION PTE LTD
unknown,ASL COURAGEOUS,50Y01856,CATERPILLAR,3512 DIT,Up to B100. Dealer consultation required,Compatible with B100,unknown,1078,Motor,Inboard,Diesel,388,30.7,10.2,4.5,,2004,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,ASL FD,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,4513,115,32.1,3.4,,1992,ASL SHIPYARD PTE LTD
unknown,ASL FD 2,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,5294,97.9,30,3.6,,2008,ASL SHIPYARD PTE LTD
SR,ASL MARS,REA02667,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,632,Motor,Inboard,Diesel,298,26.9,12,3.5,,2009,LIGHTMODE PTE LTD
SR,ASL MERCURY,REA02666,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,632,Motor,Inboard,Diesel,298,26.9,12,3.5,,2009,LIGHTMODE PTE LTD
unknown,ASL PIER 1,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1409,76.9,18,3,,2014,ASL SHIPYARD PTE LTD
unknown,ASL PIER 2,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1409,76.9,18,3,,2014,ASL SHIPYARD PTE LTD
unknown,ASL T1307,1111,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,895, ,Inboard,Diesel,137,22.1,7.4,3.1,,2008,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
ST,ASL TAURUS,P:60MO6836,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,501, ,Inboard,Diesel,170,24.3,7.6,3.5,136,1996,LIGHTMODE PTE LTD
SR,AST 1803,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,897,52.6,17,3.9,,2007,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
SR,AST 1820,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,635,52.6,15.2,3,,2007,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AST 2401,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1894,70.2,21.3,4.8,,2011,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
unknown,AST 2402,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1894,70.2,21.3,4.9,,2011,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
SR,AST 2403,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1838,70.2,21.3,4.9,,2011,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
ST,AT 1202,37246962,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,447,Motor,Inboard,MGO,131,22.1,7,3,,2010,HYUNDAI ENGRG AND CONSTRUCTION CO LTD
unknown,ATLAS 1,1421K083692,WEI CHAI,WP12C450-21,Up to B30,Compatible with B30,unknown,330,Motor,Inboard,Diesel,58,18.7,6.5,2.3,,2021,KANLIAN FERRY PTE LTD
unknown,ATLAS 11,D6AC 1052400,HYUNDAI,H 6D2 TA,unknown,No Data Available,Not Conclusive,185,Motor,Inboard,Diesel,26,17.9,4.6,1.1,,2021,KANLIAN FERRY PTE LTD
unknown,ATLAS 3,1221F006790,WEI CHAI,WD10C326-21,Up to B30,Compatible with B30,unknown,240,Motor,Inboard,Diesel,40,17.9,5,2,,2021,KANLIAN FERRY PTE LTD
unknown,ATLAS 5,1221F006786,WEI CHAI,WD10C326-21,Up to B30,Compatible with B30,unknown,240,Motor,Inboard,Diesel,40,17.9,5,2,,2021,KANLIAN FERRY PTE LTD
unknown,AVIRON BAY 2524,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1959,73.2,21.4,4.9,,2014,KIM HOCK BEE MARINE PTE LTD
SB,AVON,P:0589,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,1324, ,Inboard,Diesel,4726,96.2,17.5,9.5,7376,2006,GEA ALPHA PTE LTD
unknown,AXCEL SPLENDOUR,P:2856,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,194, ,Inboard,Diesel,29,13.5,3.8,2,,2011,AXCEL MARINE PTE LTD
unknown,AXCEL STELLAR,2864,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,388, ,Inboard,Diesel,29,13.5,3.8,2,,2011,AXCEL MARINE PTE LTD
SP,AXCEL SUPREME,1217H005434,WEI CHAI,WD10C258-190,Up to B30,Compatible with B30,unknown,193,Motor,Inboard,Diesel,25,13.8,3.5,1.8,,2017,AXCEL MARINE PTE LTD
SC,AYER CHERDAS,289,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,633,Motor,Inboard,Diesel,481,43.1,9.8,3.8,,2014,PSA MARINE PTE LTD
SC,AYER CHERDEK,290,CATERPILLAR,C32,Up to B100. Dealer consultation required,Compatible with B100,unknown,633,Motor,Inboard,Diesel,481,43.1,9.8,3.8,,2014,PSA MARINE PTE LTD
SC,AYER CHOMEL,427,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,633,Motor,Inboard,Diesel,481,43.1,9.8,3.9,,2014,PSA MARINE PTE LTD
SC,AYER MANIS,P60M04908,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,750, ,Inboard,Diesel,320,40.6,9,3.1,,1993,PSA MARINE PTE LTD
SC,AYER MOLEK,60M04910,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,375, ,Inboard,Diesel,339,43,9,3.1,,1993,PSA MARINE PTE LTD
SR,B 118,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,902,54.9,18.3,3.7,,2008,DIKA SHIPPING PTE LTD
unknown,B 218,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,921,52.7,18.3,3.7,,2008,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
SR,B 712,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,298,35.1,12,2.5,,2012,DIKA SHIPPING PTE LTD
SR,B 812,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,298,35.1,12,2.5,,2012,DIKA SHIPPING PTE LTD
SR,B101,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,180,29.2,9.1,2.4,,2006,KIM LIAN HOE MARINE CO PTE LTD
SR,B102,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,180,29.2,9.1,2.4,,2012,KIM LIAN HOE MARINE CO PTE LTD
SR,B103,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,181,29.3,9.1,2.4,,2011,SINGAPORE SALVAGE ENGINEERS PL
unknown,BABY SHARK,1031474,YAMAHA,unknown,unknown,No Data Available,Not Conclusive,6,Motor,Outboard,Petrol,1,2.7,1.5,0.4,,2021,SYNERGY MARINE SOLUTIONS PTE LTD
SC,BAHARI 2505,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1897,74,21.4,4.9,,2007,SUN OCEAN PTE LTD
SC,BAHARI 2506,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,1897,73.2,21.4,4.9,,2018,SUN OCEAN PTE LTD
unknown,BALDUR,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,2104,68,19,5.5,6550,2009,BOSKALIS INT&#39;L (S) PTE LTD
